gender;race/ethnicity;parental level of education;lunch;test preparation course;math score;reading score;writing score;output
female;group C;some college;standard;completed;74;87;93;254
male;group E;some college;standard;none;99;92;88;279
female;group C;high school;standard;none;80;87;80;247
male;group E;high school;free/reduced;none;59;49;43;151
female;group B;high school;standard;completed;42;50;56;148
male;group A;associate's degree;standard;none;40;41;39;120
female;group B;high school;standard;none;85;90;89;264
female;group E;bachelor's degree;free/reduced;none;50;53;51;154
male;group C;high school;free/reduced;none;85;71;66;222
female;group E;some high school;standard;none;78;88;84;250
female;group D;some college;free/reduced;none;38;48;52;138
female;group E;high school;standard;none;79;73;75;227
female;group B;associate's degree;free/reduced;none;43;62;56;161
male;group D;bachelor's degree;standard;completed;82;84;84;250
male;group D;some high school;standard;completed;54;52;52;158
female;group E;high school;standard;completed;79;78;83;240
female;group D;some high school;standard;completed;60;77;81;218
male;group C;bachelor's degree;standard;completed;42;37;41;120
male;group D;associate's degree;standard;completed;72;67;73;212
male;group B;some college;standard;completed;73;76;74;223
female;group B;associate's degree;standard;completed;60;67;71;198
male;group D;associate's degree;free/reduced;completed;51;56;60;167
male;group C;some college;standard;none;64;59;57;180
male;group D;some college;standard;completed;86;90;92;268
male;group C;associate's degree;standard;completed;92;83;85;260
female;group B;high school;free/reduced;completed;62;72;67;201
male;group E;some college;standard;none;100;91;87;278
female;group D;bachelor's degree;free/reduced;none;73;85;84;242
male;group A;associate's degree;standard;none;79;87;83;249
male;group C;associate's degree;free/reduced;none;43;39;33;115
female;group D;some college;standard;none;79;89;90;258
male;group D;associate's degree;standard;none;59;52;49;160
female;group C;high school;free/reduced;none;50;53;53;156
female;group C;some college;standard;none;56;56;63;175
female;group E;bachelor's degree;standard;none;39;39;41;119
male;group D;some college;free/reduced;completed;55;64;66;185
male;group B;some college;standard;none;65;53;63;181
male;group A;associate's degree;standard;none;54;52;49;155
female;group C;some college;standard;none;56;64;62;182
female;group C;master's degree;standard;none;68;82;73;223
female;group E;some college;free/reduced;none;63;70;70;203
female;group D;bachelor's degree;free/reduced;none;41;51;51;143
male;group E;high school;standard;completed;75;59;59;193
male;group C;high school;standard;none;53;54;48;155
male;group D;some college;free/reduced;none;34;30;35;99
male;group A;high school;standard;completed;60;54;54;168
female;group D;some high school;standard;none;59;71;70;200
male;group B;associate's degree;standard;none;78;76;78;232
male;group D;bachelor's degree;standard;none;64;52;48;164
female;group D;associate's degree;free/reduced;completed;51;55;59;165
female;group C;high school;free/reduced;none;57;66;66;189
male;group A;some high school;standard;none;46;49;45;140
female;group B;associate's degree;standard;completed;75;82;82;239
male;group B;high school;standard;none;92;83;74;249
male;group E;high school;standard;completed;83;72;70;225
male;group B;master's degree;standard;none;76;61;66;203
male;group C;some high school;standard;none;50;46;41;137
male;group B;high school;standard;completed;53;49;50;152
female;group E;some college;standard;none;69;75;73;217
male;group D;associate's degree;standard;none;82;75;74;231
female;group E;high school;standard;none;79;84;78;241
female;group B;some college;standard;none;78;86;87;251
female;group E;some high school;free/reduced;none;52;63;58;173
male;group D;master's degree;free/reduced;none;86;92;84;262
female;group E;bachelor's degree;free/reduced;completed;67;87;85;239
male;group B;high school;free/reduced;completed;76;81;77;234
male;group C;associate's degree;standard;none;83;97;87;267
male;group E;high school;free/reduced;completed;52;46;49;147
female;group B;associate's degree;standard;completed;66;67;75;208
male;group B;some college;free/reduced;none;28;27;26;81
female;group D;associate's degree;free/reduced;completed;83;97;100;280
male;group B;associate's degree;standard;none;56;63;61;180
female;group C;high school;standard;none;76;78;71;225
female;group D;some high school;free/reduced;none;43;52;56;151
female;group E;master's degree;standard;completed;81;79;84;244
male;group B;master's degree;free/reduced;none;77;71;69;217
male;group C;associate's degree;standard;completed;70;65;67;202
female;group C;bachelor's degree;standard;none;77;84;85;246
female;group B;high school;standard;none;82;78;78;238
female;group C;some high school;standard;completed;71;76;69;216
male;group D;some high school;free/reduced;none;61;56;54;171
female;group D;master's degree;standard;none;86;81;90;257
male;group D;associate's degree;standard;none;55;53;48;156
male;group B;high school;standard;none;50;48;46;144
female;group A;some high school;free/reduced;none;65;74;75;214
female;group C;high school;standard;none;58;61;59;178
male;group C;high school;standard;none;77;65;61;203
female;group C;master's degree;standard;none;52;46;50;148
male;group D;high school;standard;completed;78;72;75;225
male;group C;high school;free/reduced;none;79;76;68;223
male;group C;bachelor's degree;free/reduced;completed;44;61;54;159
female;group D;high school;free/reduced;completed;67;72;73;212
female;group D;associate's degree;standard;completed;61;70;78;209
male;group C;bachelor's degree;standard;none;81;66;72;219
female;group A;some high school;free/reduced;completed;74;88;86;248
male;group D;bachelor's degree;standard;completed;72;75;76;223
female;group B;some high school;standard;none;55;73;65;193
male;group E;bachelor's degree;standard;none;87;81;71;239
female;group D;associate's degree;standard;completed;79;87;93;259
male;group D;bachelor's degree;standard;none;75;84;80;239
male;group E;some high school;standard;completed;95;89;88;272
male;group B;associate's degree;free/reduced;none;65;81;72;218
male;group B;high school;free/reduced;completed;58;64;60;182
female;group B;some college;free/reduced;completed;67;86;85;238
female;group D;some college;standard;completed;79;95;93;267
female;group C;associate's degree;standard;none;77;85;79;241
male;group B;some high school;free/reduced;none;62;51;47;160
male;group C;some high school;standard;none;55;53;47;155
male;group D;associate's degree;free/reduced;none;83;79;77;239
female;group A;high school;standard;completed;58;68;72;198
female;group B;some college;standard;none;62;71;63;196
female;group C;some college;standard;none;81;89;94;264
male;group C;some high school;free/reduced;completed;35;46;44;125
male;group D;high school;standard;completed;64;62;64;190
male;group C;high school;free/reduced;none;45;51;43;139
male;group B;associate's degree;free/reduced;none;56;64;57;177
female;group E;associate's degree;standard;completed;100;100;100;300
female;group D;high school;standard;completed;55;62;66;183
female;group A;some college;free/reduced;completed;76;87;89;252
female;group C;high school;standard;none;64;75;75;214
male;group B;some college;free/reduced;none;47;34;35;116
male;group E;bachelor's degree;standard;completed;83;70;75;228
female;group D;some college;standard;completed;56;55;61;172
